row,energy_gray,static_noise_gray,snr,consistency,in_chosen_band,in_incumbent_band
0,32.856,2.913,11.28,0.75,0,0
1,33.252,2.892,11.499,0.75,0,0
2,33.465,2.85,11.744,0.75,0,0
3,33.607,2.926,11.486,0.75,0,0
4,33.992,2.857,11.898,0.75,0,0
5,33.956,2.849,11.917,0.75,0,0
6,34.057,2.823,12.063,0.75,0,0
7,34.043,2.855,11.923,0.75,0,0
8,34.084,2.821,12.083,0.75,0,0
9,34.069,2.827,12.052,0.75,0,0
10,33.978,2.834,11.989,0.75,0,0
11,33.957,2.855,11.895,0.75,0,0
12,33.85,2.877,11.767,0.75,0,0
13,33.96,2.869,11.836,0.75,0,0
14,34.046,2.882,11.815,0.75,0,0
15,33.966,2.882,11.786,0.75,0,1
16,34.212,2.938,11.644,0.75,0,1
17,34.256,2.98,11.495,0.75,0,1
18,34.497,3.046,11.324,0.75,0,1
19,34.166,3.14,10.881,0.75,0,1
20,27.101,5.626,4.817,0.75,0,1
21,25.514,7.564,3.373,0.75,0,1
22,27.619,8.041,3.435,0.75,0,1
23,27.128,7.42,3.656,0.75,0,1
24,22.864,7.161,3.193,0.75,0,1
25,22.602,8.554,2.642,0.75,0,1
26,26.771,8.083,3.312,1.0,0,1
27,26.677,7.524,3.546,0.75,0,1
28,24.41,8.21,2.973,0.75,0,1
29,24.373,6.337,3.846,0.75,0,1
30,28.923,4.869,5.941,0.75,0,1
31,36.504,3.939,9.268,0.75,0,1
32,35.405,3.111,11.382,0.75,0,1
33,35.493,3.043,11.663,0.75,0,1
34,35.439,3.018,11.743,0.75,0,1
35,35.287,3.061,11.529,0.75,0,1
36,35.18,2.986,11.783,0.75,0,1
37,35.065,2.964,11.828,0.75,0,1
38,34.97,2.961,11.809,0.75,0,1
39,35.119,2.954,11.89,0.75,0,1
40,35.081,2.941,11.93,0.75,0,1
41,35.261,2.93,12.035,0.75,0,1
42,35.228,2.952,11.933,0.75,0,1
43,35.413,2.96,11.963,0.75,0,1
44,35.38,2.947,12.004,0.75,0,1
45,35.607,2.96,12.03,0.75,0,1
46,35.788,2.996,11.946,0.75,0,1
47,35.767,2.984,11.988,0.75,0,1
48,35.788,2.979,12.013,0.75,0,1
49,35.746,2.987,11.967,1.0,0,1
50,35.746,3.006,11.891,1.0,0,1
51,35.622,3.008,11.843,1.0,0,1
52,35.39,2.966,11.934,1.0,0,1
53,35.362,2.97,11.906,1.0,0,1
54,35.308,3.012,11.722,1.0,0,1
55,35.11,3.007,11.676,1.0,0,1
56,34.946,3.005,11.628,1.0,0,1
57,34.759,3.02,11.51,1.0,0,1
58,34.577,3.012,11.48,1.0,0,1
59,34.407,3.032,11.348,1.0,0,1
60,34.093,3.018,11.298,1.0,0,1
61,34.12,3.03,11.262,1.0,0,1
62,34.031,3.002,11.336,1.0,0,1
63,33.827,2.966,11.405,1.0,0,1
64,33.837,2.949,11.475,1.0,0,1
65,33.75,2.983,11.314,1.0,0,1
66,33.694,3.01,11.192,1.0,0,1
67,33.496,3.041,11.014,1.0,0,1
68,33.487,2.981,11.232,1.0,0,1
69,33.313,2.991,11.139,1.0,0,1
70,32.963,2.993,11.012,1.0,0,1
71,32.801,3.019,10.867,1.0,0,1
72,32.756,2.996,10.933,1.0,0,1
73,32.605,2.981,10.937,1.0,0,1
74,32.667,2.97,11.001,1.0,0,1
75,32.807,2.995,10.955,1.0,0,1
76,32.798,2.984,10.99,1.0,0,1
77,32.931,2.993,11.001,1.0,0,1
78,33.187,2.995,11.081,1.0,0,1
79,33.349,2.997,11.129,1.0,0,1
80,33.44,2.977,11.233,1.0,0,1
81,33.578,2.955,11.364,1.0,0,1
82,33.67,2.951,11.41,1.0,0,1
83,33.593,2.979,11.278,1.0,0,1
84,33.307,2.972,11.208,1.0,0,1
85,33.133,2.98,11.118,1.0,0,0
