cam,close_end_osd,travel_s,travel_err_s,status
ch30,12:04:57,2.6,0.25,clean
ch30,12:05:49,,,occluded
ch30,12:07:39,,,occluded
ch30,12:08:16,,,boundary
ch30,12:08:55,2.1,0.15,clean
ch30,12:10:48,,,clean_untimed
ch30,12:11:32,,,complex
ch30,12:12:16,2.2,0.15,clean
ch30,12:12:47,,,clean_untimed
ch30,12:13:28,,,clean_untimed
ch30,12:14:53,2.5,0.3,clean
ch30,12:15:46,,,truncated
ch27,12:08:00,,,clean_untimed
ch27,12:08:52,,,clean_untimed
ch27,12:10:03,2.8,0.4,clean
ch27,12:11:01,,,clean_untimed
ch27,12:11:39,3.2,0.3,clean
ch27,12:12:08,,,clean_untimed
ch27,12:13:13,,,clean_untimed
ch27,12:13:50,,,clean_untimed
ch27,12:14:07,,,clean_untimed
ch27,12:15:43,,,truncated
